model,parameters,quantization,framework,slope_origin
llama2,13b,none,vllm,0.00000324564
llama2,13b,none,llamacpp,0.00000341449
llama3,8b,none,vllm,0.00000192168
llama3,8b,none,llamacpp,0.00000286614
llama3,13b,none,llamacpp,0.00000425627
llama3,13b,8bit0,llamacpp,0.00000330038
llama3,13b,q2k,llamacpp,0.00000305911
llama3,13b,q3kl,llamacpp,0.00000335282
llama3,13b,q3km,llamacpp,0.0000032666
llama3,13b,q3ks,llamacpp,0.00000345917
llama3,13b,q4km,llamacpp,0.00000291899
llama3,13b,q4ks,llamacpp,0.00000285207
llama3,13b,q5ks,llamacpp,0.00000311718
llama3,13b,q5km,llamacpp,0.00000318215
llama3,13b,q6k,llamacpp,0.00000351408
mistral,7b,none,vllm,0.00000197218
phi3med,14b,none,vllm,0.00000372032
