location,criteria,value,unit,source
Albania,Climate change,0.0206759,kgCO2eq,Base IMPACTS v3.01
Albania,Resource use,2.30E-07,kg SB eq.,Base IMPACTS v3.01
Algeria,Climate change,1.00497,kgCO2eq,Base IMPACTS v3.01
Algeria,Resource use,2.16E-08,kg SB eq.,Base IMPACTS v3.01
Angola,Climate change,0.406417,kgCO2eq,Base IMPACTS v3.01
Angola,Resource use,1.24E-07,kg SB eq.,Base IMPACTS v3.01
Argentina,Climate change,0.470073,kgCO2eq,Base IMPACTS v3.01
Argentina,Resource use,7.69E-08,kg SB eq.,Base IMPACTS v3.01
Armenia,Climate change,0.249278,kgCO2eq,Base IMPACTS v3.01
Armenia,Resource use,8.54E-08,kg SB eq.,Base IMPACTS v3.01
Australia,Climate change,1.11439,kgCO2eq,Base IMPACTS v3.01
Australia,Resource use,7.91E-08,kg SB eq.,Base IMPACTS v3.01
Austria,Climate change,0.23995,kgCO2eq,Base IMPACTS v3.01
Austria,Resource use,1.41E-07,kg SB eq.,Base IMPACTS v3.01
Azerbaijan,Climate change,0.718754,kgCO2eq,Base IMPACTS v3.01
Azerbaijan,Resource use,9.26E-08,kg SB eq.,Base IMPACTS v3.01
Bahrain,Climate change,0.802773,kgCO2eq,Base IMPACTS v3.01
Bahrain,Resource use,1.35E-08,kg SB eq.,Base IMPACTS v3.01
Bangladesh,Climate change,0.784231,kgCO2eq,Base IMPACTS v3.01
Bangladesh,Resource use,3.94E-08,kg SB eq.,Base IMPACTS v3.01
Belarus,Climate change,0.787163,kgCO2eq,Base IMPACTS v3.01
Belarus,Resource use,8.40E-08,kg SB eq.,Base IMPACTS v3.01
Belgium,Climate change,0.254028,kgCO2eq,Base IMPACTS v3.01
Belgium,Resource use,3.37E-08,kg SB eq.,Base IMPACTS v3.01
Benin,Climate change,1.15548,kgCO2eq,Base IMPACTS v3.01
Benin,Resource use,2.40E-08,kg SB eq.,Base IMPACTS v3.01
Bolivia,Climate change,0.57594,kgCO2eq,Base IMPACTS v3.01
Bolivia,Resource use,9.70E-08,kg SB eq.,Base IMPACTS v3.01
Bosnia and Herzegovina,Climate change,1.53788,kgCO2eq,Base IMPACTS v3.01
Bosnia and Herzegovina,Resource use,1.48E-07,kg SB eq.,Base IMPACTS v3.01
Botswana,Climate change,2.07787,kgCO2eq,Base IMPACTS v3.01
Botswana,Resource use,8.66E-08,kg SB eq.,Base IMPACTS v3.01
Brazil,Climate change,0.277156,kgCO2eq,Base IMPACTS v3.01
Brazil,Resource use,1.10E-07,kg SB eq.,Base IMPACTS v3.01
Brunei Darussalam,Climate change,0.979147,kgCO2eq,Base IMPACTS v3.01
Brunei Darussalam,Resource use,1.86E-08,kg SB eq.,Base IMPACTS v3.01
Bulgaria,Climate change,0.819607,kgCO2eq,Base IMPACTS v3.01
Bulgaria,Resource use,8.24E-08,kg SB eq.,Base IMPACTS v3.01
Cambodia,Climate change,1.40563,kgCO2eq,Base IMPACTS v3.01
Cambodia,Resource use,3.19E-08,kg SB eq.,Base IMPACTS v3.01
Cameroon,Climate change,0.4423,kgCO2eq,Base IMPACTS v3.01
Cameroon,Resource use,1.46E-07,kg SB eq.,Base IMPACTS v3.01
Canada,Climate change,0.237066,kgCO2eq,Base IMPACTS v3.01
Canada,Resource use,9.93E-08,kg SB eq.,Base IMPACTS v3.01
Chile,Climate change,0.565466,kgCO2eq,Base IMPACTS v3.01
Chile,Resource use,1.06E-07,kg SB eq.,Base IMPACTS v3.01
China,Climate change,1.03677,kgCO2eq,Base IMPACTS v3.01
China,Resource use,8.52E-08,kg SB eq.,Base IMPACTS v3.01
Colombia,Climate change,0.210818,kgCO2eq,Base IMPACTS v3.01
Colombia,Resource use,1.22E-07,kg SB eq.,Base IMPACTS v3.01
Congo,Climate change,0.868287,kgCO2eq,Base IMPACTS v3.01
Congo,Resource use,2.66E-07,kg SB eq.,Base IMPACTS v3.01
Congo. The Democratic Republic Of The,Climate change,0.0610818,kgCO2eq,Base IMPACTS v3.01
Congo. The Democratic Republic Of The,Resource use,1.75E-07,kg SB eq.,Base IMPACTS v3.01
Costa Rica,Climate change,0.223131,kgCO2eq,Base IMPACTS v3.01
Costa Rica,Resource use,8.64E-08,kg SB eq.,Base IMPACTS v3.01
Cote D'ivoire,Climate change,0.889372,kgCO2eq,Base IMPACTS v3.01
Cote D'ivoire,Resource use,9.49E-08,kg SB eq.,Base IMPACTS v3.01
Croatia,Climate change,0.526681,kgCO2eq,Base IMPACTS v3.01
Croatia,Resource use,1.54E-07,kg SB eq.,Base IMPACTS v3.01
Cuba,Climate change,1.26209,kgCO2eq,Base IMPACTS v3.01
Cuba,Resource use,3.00E-08,kg SB eq.,Base IMPACTS v3.01
Cyprus,Climate change,0.97331,kgCO2eq,Base IMPACTS v3.01
Cyprus,Resource use,4.49E-08,kg SB eq.,Base IMPACTS v3.01
Czech Republic,Climate change,0.790937,kgCO2eq,Base IMPACTS v3.01
Czech Republic,Resource use,8.18E-08,kg SB eq.,Base IMPACTS v3.01
Denmark,Climate change,0.623496,kgCO2eq,Base IMPACTS v3.01
Denmark,Resource use,1.57E-08,kg SB eq.,Base IMPACTS v3.01
Dominican Republic,Climate change,0.894108,kgCO2eq,Base IMPACTS v3.01
Dominican Republic,Resource use,4.29E-08,kg SB eq.,Base IMPACTS v3.01
Ecuador,Climate change,0.623803,kgCO2eq,Base IMPACTS v3.01
Ecuador,Resource use,1.27E-07,kg SB eq.,Base IMPACTS v3.01
Egypt,Climate change,0.584761,kgCO2eq,Base IMPACTS v3.01
Egypt,Resource use,3.39E-08,kg SB eq.,Base IMPACTS v3.01
El Salvador,Climate change,0.466744,kgCO2eq,Base IMPACTS v3.01
El Salvador,Resource use,4.72E-08,kg SB eq.,Base IMPACTS v3.01
Eritrea,Climate change,1.09754,kgCO2eq,Base IMPACTS v3.01
Eritrea,Resource use,5.12E-08,kg SB eq.,Base IMPACTS v3.01
Estonia,Climate change,1.48507,kgCO2eq,Base IMPACTS v3.01
Estonia,Resource use,9.90E-08,kg SB eq.,Base IMPACTS v3.01
Ethiopia,Climate change,0.245382,kgCO2eq,Base IMPACTS v3.01
Ethiopia,Resource use,1.74E-07,kg SB eq.,Base IMPACTS v3.01
Europe,Climate change,0.502578,kgCO2eq,Base IMPACTS v3.01
Europe,Resource use,6.42E-08,kg SB eq.,Base IMPACTS v3.01
Finland,Climate change,0.318522,kgCO2eq,Base IMPACTS v3.01
Finland,Resource use,8.05E-08,kg SB eq.,Base IMPACTS v3.01
France,Climate change,0.0800844,kgCO2eq,Base IMPACTS v3.01
France,Resource use,4.86E-08,kg SB eq.,Base IMPACTS v3.01
Gabon,Climate change,0.706797,kgCO2eq,Base IMPACTS v3.01
Gabon,Resource use,1.14E-07,kg SB eq.,Base IMPACTS v3.01
Georgia,Climate change,0.130664,kgCO2eq,Base IMPACTS v3.01
Georgia,Resource use,1.38E-07,kg SB eq.,Base IMPACTS v3.01
Germany,Climate change,0.650114,kgCO2eq,Base IMPACTS v3.01
Germany,Resource use,8.79E-08,kg SB eq.,Base IMPACTS v3.01
Ghana,Climate change,0.525297,kgCO2eq,Base IMPACTS v3.01
Ghana,Resource use,1.56E-07,kg SB eq.,Base IMPACTS v3.01
